Символ;Вероятность
"(space)";0,1488833747
"е";0,0926385443
"о";0,0909842845
"и";0,0703060380
"н";0,0603804797
"а";0,0537634409
"с";0,0463192721
"в";0,0405293631
"л";0,0380479735
"р";0,0380479735
"т";0,0380479735
"д";0,0306038048
"м";0,0281224152
"п";0,0231596361
"к";0,0223325062
"г";0,0215053763
"у";0,0206782465
"я";0,0173697270
"й";0,0157154673
"б";0,0148883375
"ы";0,0148883375
"ч";0,0099255583
"ш";0,0099255583
"з";0,0082712986
"ж";0,0074441687
"ь";0,0074441687
"х";0,0074441687
"щ";0,0074441687
"ю";0,0066170389
"ц";0,0049627792
"э";0,0024813896
"ъ";0,0008271299
